,layers,hid_dim,n_param,accuracy
0,1,1,805,0.1135
0,1,2,1600,0.1135
0,1,4,3190,0.3034
0,1,8,6370,0.8084
0,1,16,12730,0.8856
0,1,32,25450,0.9438
0,1,64,50890,0.9503
0,1,128,101770,0.9521
0,1,256,203530,0.9583
0,1,512,407050,0.9617
0,1,1024,814090,0.9687
0,2,1,807,0.1135
0,2,2,1606,0.1136
0,2,4,3210,0.1135
0,2,8,6442,0.6219
0,2,16,13002,0.9037
0,2,32,26506,0.9368
0,2,64,55050,0.9442
0,2,128,118282,0.9465
0,2,256,269322,0.9671
0,2,512,669706,0.9577
0,2,1024,1863690,0.9661
0,3,1,809,0.1135
0,3,2,1612,0.3898
0,3,4,3230,0.1134
0,3,8,6514,0.849
0,3,16,13274,0.9203
0,3,32,27562,0.9504
0,3,64,59210,0.9592
0,3,128,134794,0.9619
0,3,256,335114,0.9583
0,3,512,932362,0.9687
0,3,1024,2913290,0.9659
