動画タイトル,動画時間,公開日時,経過日数,プレミア公開,視聴回数,コメント,高評価件数,低評価件数,ln_経過日数,ln_視聴回数,ln_高評価件数
【深層学習】fasttext - 単語の内部構造を利用した版 word2vec 【ディープラーニングの世界 vol. 25】#095 #VRアカデミア #DeepLearning,0:20:25,2021/04/09,1,1,420,2,22,0,0,6.040254711,3.091042453
【登壇するよ！】Developer eXperience Day 2021【無料！聞きに来て！】#096 #VRアカデミア,0:08:08,2021/04/02,8,1,1005,0,44,1,2.079441542,6.91274282,3.784189634
【深層学習】Attention - 全領域に応用され最高精度を叩き出す注意機構の仕組み【ディープラーニングの世界 vol. 24】#095 #VRアカデミア #DeepLearning,0:36:37,2021/03/26,15,1,9504,47,427,2,2.708050201,9.159468042,6.056784013
【ラグランジュの未定乗数法】あの計算の意味、説明できますか？【幾何的イメージも解説】#094 #VRアカデミア,0:32:02,2021/03/19,22,1,3234,27,220,0,3.091042453,8.08147504,5.393627546
【深層学習】doc2vec - 文章の意味を機械が理解する仕組み【ディープラーニングの世界 vol. 23】#093 #VRアカデミア #DeepLearning,0:19:59,2021/03/05,36,1,1567,17,60,1,3.583518938,7.356918242,4.094344562
【因子分析】プロマックス回転 - 使い方から数式と原理まで解説【プロマックスを過激化させたの斜交回転】 #092 #VRアカデミア,0:14:51,2021/02/26,43,1,1086,14,59,0,3.761200116,6.9902565,4.077537444
【因子分析】バリマックス回転 - 使い方から数式と原理まで解説【分散最大化の直交回転】 #091 #VRアカデミア,0:17:30,2021/02/12,57,1,1561,11,78,1,4.043051268,7.353081921,4.356708827
【深層学習】word2vec の数理 - なぜ単語の計算が可能なのか【ディープラーニングの世界 vol. 22】#090 #VRアカデミア #DeepLearning,0:20:37,2021/02/05,64,1,2973,19,150,0,4.158883083,7.997326823,5.010635294
【深層学習】word2vec - 単語の意味を機械が理解する仕組み【ディープラーニングの世界 vol. 21】#089 #VRアカデミア #DeepLearning,0:36:52,2021/01/29,71,1,4611,28,260,1,4.262679877,8.436200032,5.560681631
【因子分析】因子の回転ってなんだ！？【新たな視点で因子をより深く理解する】 #088 #VRアカデミア,0:21:34,2021/01/22,78,1,2124,11,158,0,4.356708827,7.661056382,5.062595033
【深層学習】RNNLM - 自然言語処理に革命を起こした RNN について【ディープラーニングの世界 vol. 20】#087 #VRアカデミア #DeepLearning,0:21:15,2021/01/08,92,1,2176,5,91,1,4.521788577,7.685243608,4.510859507
【自然言語処理】Elasticsearch 徹底解説 - スコアリングのロジックについて【Elasticsearch への道③】#086 #VRアカデミア,0:19:14,2020/12/18,113,1,1510,8,79,0,4.727387819,7.31986493,4.369447852
【自然言語処理】BM25 - tf-idfの進化系の実践類似度分析【Elasticsearch への道②】#085 #VRアカデミア,0:23:39,2020/12/11,120,1,1857,14,113,0,4.787491743,7.526717561,4.727387819
【自然言語処理】tf-idf 単語の情報量を加味した類似度分析【Elasticsearch への道①】#084 #VRアカデミア,0:16:51,2020/12/04,127,1,2719,10,169,0,4.844187086,7.908019445,5.129898715
【射影幾何】バラバラな3つの定義を統一！ 射影幾何の面白さに入門しよう【2次曲線】 #083 #VRアカデミア,0:20:52,2020/11/20,141,1,2131,42,203,0,4.94875989,7.664346632,5.313205979
【深層学習】SENet - 「圧縮興奮機構」による性能向上【ディープラーニングの世界 vol. 19】#082 #VRアカデミア #DeepLearning,0:23:35,2020/11/13,148,1,3299,23,124,0,4.997212274,8.101374671,4.820281566
"【深層学習】 CNN 紹介 ""Xception"" 大胆仮説でパラメタ削減と汎化を達成【ディープラーニングの世界 vol. 18】#081 #VRアカデミア #DeepLearning",0:17:35,2020/11/06,155,1,2750,9,99,0,5.043425117,7.919356191,4.59511985
"【深層学習】 CNN 紹介 ""ResNet"" 言わずとしれた CNN の標準技術が登場！【ディープラーニングの世界 vol. 17】#080 #VRアカデミア #DeepLearning",0:24:41,2020/10/30,162,1,5512,19,212,3,5.087596335,8.614682813,5.356586275
"【深層学習】 CNN 紹介 ""VGGNet"" シンプルで強い転移学習の味方【ディープラーニングの世界 vol. 16】#079 #VRアカデミア #DeepLearning",0:10:03,2020/10/23,169,1,3345,15,124,1,5.129898715,8.115221973,4.820281566
"【深層学習】CNN紹介 ""GoogLeNet"" ILSVRC2014をInceptionで制したモデル【ディープラーニングの世界 vol. 15】#078 #VRアカデミア #DeepLearning",0:24:50,2020/10/16,176,1,3616,12,174,2,5.170483995,8.193123722,5.159055299
"【深層学習】CNN紹介 ""AlexNet"" 2012年に登場し、画像処理に革命を起こしたモデル【ディープラーニングの世界 vol. 14 】 #077 #VRアカデミア #DeepLearning",0:16:36,2020/10/09,183,1,3394,14,169,1,5.209486153,8.129764446,5.129898715
"【深層学習】CNN紹介 ""LeNet"" 1990年代に活躍したCNN【ディープラーニングの世界 vol. 13 】 #076 #VRアカデミア #DeepLearning",0:17:53,2020/10/02,190,1,4368,8,169,2,5.247024072,8.382060517,5.129898715
【数量化理論】数量化IV類とその数式 - 類似度データからベクトルデータを復元する技術【いろんな分析 vol. 11 】 #075 #VRアカデミア,0:16:57,2020/09/25,197,1,1514,27,81,0,5.283203729,7.322510434,4.394449155
