動画,動画のタイトル,動画公開時刻,低評価数,高評価数,視聴回数,総再生時間（時間）,チャンネル登録者,推定収益 (JPY),インプレッション数,インプレッションのクリック率 (%)
合計,,,507,46850,1373002,179007.9121,30404,658124.96,34007292,2.36
Rgy8oyJFC4Q,【書評動画？】宇宙と数学と IUT 理論【めざせ ABC 予想】 #VRアカデミア #031,"Jun 10, 2019",25,789,35033,3819.43,437,6909.805,1225890,1.66
I3le5FVPcnw,【ベイズ統計その③】宇宙一わかりやすいベイズ推定【本気の解説】 #VRアカデミア #016,"Dec 17, 2018",22,1136,29999,6042.2767,240,5795.842,699421,2.53
NE1W0wJH8q8,【ブラックショールズ方程式への道①】ランダムウォークとブラウン運動【確率微分方程式の基礎】 #VRアカデミア #039,"Jan 9, 2020",20,857,32610,4711.8909,882,12556.157,711583,2.46
SyWwoMpP_P4,【深層学習】ディープラーニングとは関数近似器である【ディープラーニングの世界 vol. 1 】 #050 #VRアカデミア #DeepLearning,"Apr 22, 2020",16,1214,36171,1840.4788,1498,22478.181,615474,2.43
UjhB_qL0eLY,【ベイズ統計⑥】最終回！階層ベイズとMCMC【してやんよ】 #VRアカデミア #021,"Jan 21, 2019",15,668,18953,2468.7354,237,6731.93,337416,3.52
5iSZqYh9wOs,【ベイズ統計その②】この推定、もっとももっともらしいってよ…！【最尤推定のお話だよ！】 #VRアカデミア #015,"Nov 26, 2018",12,888,27942,3848.5654,283,10166.624,506171,3.52
IaTCGRL41_k,【深層学習】BERT - 実務家必修。実務で超応用されまくっている自然言語処理モデル【ディープラーニングの世界vol.32】#110 #VRアカデミア #DeepLearning,"Jul 30, 2021",12,541,14322,2201.02,326,8180.789,527650,1.73
mMmTHoZKWTI,【相関で情報を圧縮】主成分分析の気持ちを理解する【いろんな分析 vol. 2 】 #051 #VRアカデミア,"Apr 24, 2020",12,1078,35076,5104.0048,655,25267.435,800074,3.01
mX_NpDD7wwg,【ベイズ統計その①】条件付き確率と Bayes の定理【時間の流れを意識せよ！】 #VRアカデミア #014,"Nov 19, 2018",11,1540,46925,3996.562,986,6763.726,1625069,1.58
50XvMaWhiTY,【深層学習】Transformer - Multi-Head Attentionを理解してやろうじゃないの【ディープラーニングの世界vol.28】#106 #VRアカデミア #DeepLearning,"Jul 2, 2021",10,822,22797,3800.842,774,14992.697,461450,2.58
X2f1VsGCdDE,【ブラックショールズ方程式への道③】伊藤積分【確率微分方程式の基礎】 #VRアカデミア #041,"Feb 7, 2020",9,392,12322,2753.3764,112,7589.972,259029,2.86
ZJfytzsqI1o,【相関から構造を推定】因子分析の気持ちを理解する【いろんな分析 vol. 1 】#049 #VRアカデミア,"Apr 17, 2020",9,865,30117,3696.8836,632,22343.232,594424,2.86
d0EGcXZlpJ4,【時系列分析①】漸化式と線型代数その1【特性方程式の謎を解く！】 #VRアカデミア #023,"Feb 23, 2019",9,356,19732,2044.9635,215,5614.164,213914,4.97
pOLS6_4iYSk,【わたしの博士課程】生活、進路、楽しみ、苦しみ、色々話したよ！【博士（数理科学 / 東京大学大学院）の場合】#098 #VRアカデミア,"Apr 14, 2021",9,1016,23867,3767.4663,225,10806.461,561909,2.9
P3QJdlGdscU,【分野横断】機械学習と統計的推論と微分幾何と関数解析と統計力学の関係性【 VTuber によるよくばりセット】 #VRアカデミア #037,"Oct 11, 2019",8,425,11779,911.9087,259,2867.058,199792,3.69
Ul5gVsx6dRI,【AI界で流行中！？】人間の皆さんに、GANごっこをお伝えします【暇を持て余したAIの遊び】 #001,"Jun 24, 2018",8,157,7325,279.0966,94,1307.316,70930,5.88
oxygME2UBFc,【深層学習】LSTM - RNN に記憶をもたせる試みその2【ディープラーニングの世界 vol. 11 】 #067 #VRアカデミア #DeepLearning,"Jul 24, 2020",8,624,18267,2680.3941,264,17037.234,330847,3.19
CiPHQVkaXNI,【微分幾何】多様体の内在的な定義【本編にドーナツは一切登場しません】 #VRアカデミア #008,"Sep 24, 2018",7,170,9069,508.9819,137,949.828,107175,4.69
TLY2NPpxd58,"【自己紹介】はじめまして、アイシア=ソリッドです！【Hello, world!】 #000","Jun 23, 2018",7,292,14793,192.9658,353,1974.612,140705,4.88
knCbMFQJXxY,【因果を利用した分析】ベイジアンネットワークで見る変数の因果関係【いろんな分析 vol. 5 】 #060 #VRアカデミア,"Jun 12, 2020",7,386,11125,1600.8979,122,7212.296,249055,2.74
u0IIqeNZOXY,【非 deep 最強機械学習】Gradient Boosted Trees の仕組み【勾配決定木とも言うよ】 #VRアカデミア #035,"Aug 23, 2019",7,709,14725,1428.7751,323,6610.722,241292,3.9
0CXCqxQAKKQ,【深層学習】word2vec - 単語の意味を機械が理解する仕組み【ディープラーニングの世界 vol. 21】#089 #VRアカデミア #DeepLearning,"Jan 29, 2021",6,558,13988,2647.3015,250,7412.467,343188,2.46
DOnSapmaev4,【雰囲気をつかむ】階層ベイズモデリング - 構造を仮定して本質を推定する【いろんな分析 vol. 7 】 #065 #VRアカデミア,"Jul 10, 2020",6,453,8907,1284.1905,105,4893.071,221462,2.49
M6wCZCv28EQ,【もう二度と迷わない】因子分析と主成分分析は何が違うの？【いろんな分析 vol. 3 】 #053 #VRアカデミア,"May 1, 2020",6,693,17731,2102.3361,319,10906.965,367949,3.19
