id,購買意欲,容量,形,色,回答者
0,◯,1l,円柱,青,A
1,◯,1l,円柱,緑,A
2,◯,1l,円柱,赤,A
3,◯,1l,4角柱,青,A
4,◯,1l,4角柱,緑,A
5,×,1l,4角柱,赤,A
6,◯,500ml,円柱,青,A
7,×,500ml,円柱,緑,A
8,×,500ml,円柱,赤,A
9,◯,500ml,4角柱,青,A
10,×,500ml,4角柱,緑,A
11,△,500ml,4角柱,赤,A
12,△,300ml,円柱,青,A
13,△,300ml,円柱,緑,A
14,×,300ml,円柱,赤,A
15,△,300ml,4角柱,青,A
16,◯,300ml,4角柱,緑,A
17,×,300ml,4角柱,赤,A
18,◯,1l,円柱,青,B
19,△,1l,円柱,緑,B
20,◯,1l,円柱,赤,B
21,△,1l,4角柱,青,B
22,◯,1l,4角柱,緑,B
23,◯,1l,4角柱,赤,B
24,×,500ml,円柱,青,B
25,◯,500ml,円柱,緑,B
26,×,500ml,円柱,赤,B
27,×,500ml,4角柱,青,B
28,×,500ml,4角柱,緑,B
29,△,500ml,4角柱,赤,B
30,△,300ml,円柱,青,B
31,◯,300ml,円柱,緑,B
32,×,300ml,円柱,赤,B
33,◯,300ml,4角柱,青,B
34,◯,300ml,4角柱,緑,B
35,×,300ml,4角柱,赤,B
36,×,1l,円柱,青,C
37,◯,1l,円柱,緑,C
38,◯,1l,円柱,赤,C
39,◯,1l,4角柱,青,C
40,◯,1l,4角柱,緑,C
41,◯,1l,4角柱,赤,C
42,△,500ml,円柱,青,C
43,△,500ml,円柱,緑,C
44,◯,500ml,円柱,赤,C
45,◯,500ml,4角柱,青,C
46,×,500ml,4角柱,緑,C
47,◯,500ml,4角柱,赤,C
48,◯,300ml,円柱,青,C
49,×,300ml,円柱,緑,C
50,◯,300ml,円柱,赤,C
51,◯,300ml,4角柱,青,C
52,×,300ml,4角柱,緑,C
53,◯,300ml,4角柱,赤,C
54,◯,1l,円柱,青,D
55,◯,1l,円柱,緑,D
56,×,1l,円柱,赤,D
57,◯,1l,4角柱,青,D
58,◯,1l,4角柱,緑,D
59,×,1l,4角柱,赤,D
60,◯,500ml,円柱,青,D
61,×,500ml,円柱,緑,D
62,◯,500ml,円柱,赤,D
63,◯,500ml,4角柱,青,D
64,◯,500ml,4角柱,緑,D
65,×,500ml,4角柱,赤,D
66,△,300ml,円柱,青,D
67,◯,300ml,円柱,緑,D
68,×,300ml,円柱,赤,D
69,△,300ml,4角柱,青,D
70,×,300ml,4角柱,緑,D
71,×,300ml,4角柱,赤,D
72,◯,1l,円柱,青,E
73,△,1l,円柱,緑,E
74,△,1l,円柱,赤,E
75,◯,1l,4角柱,青,E
76,×,1l,4角柱,緑,E
77,◯,1l,4角柱,赤,E
78,△,500ml,円柱,青,E
79,×,500ml,円柱,緑,E
80,◯,500ml,円柱,赤,E
81,△,500ml,4角柱,青,E
82,×,500ml,4角柱,緑,E
83,△,500ml,4角柱,赤,E
84,×,300ml,円柱,青,E
85,×,300ml,円柱,緑,E
86,×,300ml,円柱,赤,E
87,×,300ml,4角柱,青,E
88,×,300ml,4角柱,緑,E
89,◯,300ml,4角柱,赤,E
90,◯,1l,円柱,青,F
91,◯,1l,円柱,緑,F
92,△,1l,円柱,赤,F
93,×,1l,4角柱,青,F
94,×,1l,4角柱,緑,F
95,×,1l,4角柱,赤,F
96,◯,500ml,円柱,青,F
97,◯,500ml,円柱,緑,F
98,△,500ml,円柱,赤,F
99,◯,500ml,4角柱,青,F
100,◯,500ml,4角柱,緑,F
101,◯,500ml,4角柱,赤,F
